flag_calib,flag_drop,flag_separation,flag_fin,top_lat,bottom_lat,top_lon,bottom_lon,top_hMSL,bottom_hMSL,top_altbaro,bottom_altbaro,top_gyrx,bottom_gyrx,top_gyry,bottom_gyry,top_gyrz,bottom_gyrz,sat_hRSSI,top_pression,top_temperature,distance_modules,bottom_pression,top_vspeed,bottom_vspeed,timeindex
1,0,0,0,43.2424355,43.2424049,-0.0393429,-0.0393178,447.5,411.3,0.84,0.59,-6.0,20.0,-40.0,-32.0,8.0,6.0,0.3,97243.2,36.8,4.3,97217.8,0.0,-0.0,1645
1,0,0,0,43.2424355,43.2424049,-0.0393419,-0.0393177,447.0,411.3,0.83,0.59,-6.0,20.0,-40.0,-32.0,8.0,6.0,0.3,97243.4,37.5,4.0,97217.8,0.0,0.0,1646
1,0,0,0,43.2424355,43.2424088,-0.0393419,-0.0393178,447.0,411.5,0.83,0.6,-6.0,21.0,-40.0,-32.0,8.0,6.0,0.3,97243.4,37.5,3.6,97217.7,0.0,-0.0,1647
1,0,0,0,43.2424355,43.2424088,-0.039341,-0.0393179,446.6,411.5,0.85,0.61,-6.0,20.0,-40.0,-32.0,8.0,5.0,0.3,97243.2,37.3,3.6,97217.6,0.1,-0.0,1648
1,0,0,0,43.2424355,43.2424088,-0.039341,-0.0393179,446.6,411.5,0.85,0.61,-6.0,20.0,-40.0,-32.0,8.0,5.0,0.3,97243.2,37.3,3.6,97217.6,0.1,-0.0,1649
1,0,0,0,43.2424316,43.2424088,-0.0393416,-0.039318,446.6,411.7,0.85,0.6,-6.0,20.0,-39.0,-33.0,8.0,6.0,0.3,97243.2,37.9,3.6,97217.7,0.1,-0.0,1650
1,0,0,0,43.2424316,43.2424088,-0.0393415,-0.039318,446.4,411.7,0.83,0.6,-6.0,20.0,-39.0,-33.0,8.0,6.0,0.3,97243.4,37.2,3.6,97217.7,0.1,-0.0,1651
1,0,0,0,43.2424316,43.2424088,-0.0393427,-0.0393185,446.4,411.8,0.83,0.6,-6.0,20.0,-40.0,-33.0,8.0,7.0,0.3,97243.3,38.1,3.6,97217.7,0.0,0.0,1652
1,0,0,0,43.2424316,43.2424088,-0.039343,-0.0393185,446.3,411.8,0.83,0.6,-7.0,20.0,-40.0,-33.0,9.0,7.0,0.3,97243.3,37.7,3.6,97217.7,0.1,0.0,1653
1,0,0,0,43.2424278,43.2424088,-0.0393448,-0.0393183,446.2,412.0,0.84,0.59,-7.0,21.0,-39.0,-32.0,9.0,6.0,0.2,97243.2,37.5,3.3,97217.8,0.1,-0.0,1654
1,0,0,0,43.2424278,43.2424088,-0.039345,-0.0393183,446.1,412.0,0.84,0.59,-6.0,21.0,-39.0,-32.0,8.0,6.0,0.3,97243.2,37.5,3.3,97217.8,0.1,-0.0,1655
1,0,0,0,43.2424278,43.2424088,-0.0393458,-0.0393181,446.0,412.2,0.83,0.59,-32.0,20.0,-73.0,-32.0,-3.0,6.0,0.2,97243.4,37.5,2.9,97217.6,0.1,-0.0,1656
1,0,0,0,43.242424,43.2424088,-0.0393471,-0.0393181,445.9,412.2,0.83,0.61,-98.0,21.0,-215.0,-32.0,920.0,6.0,0.2,97243.4,37.2,2.9,97217.6,0.0,-0.0,1657
1,0,0,0,43.242424,43.2424088,-0.0393485,-0.0393182,445.9,412.3,0.83,0.61,74.0,21.0,-65.0,-33.0,150.0,6.0,0.2,97243.4,37.5,2.9,97217.7,0.0,-0.0,1658
1,0,0,0,43.242424,43.2424088,-0.039348,-0.0393182,445.7,412.3,0.83,0.61,366.0,21.0,-141.0,-33.0,-233.0,6.0,0.2,97243.4,37.7,2.9,97217.7,0.0,-0.0,1659
1,0,0,0,43.242424,43.2424088,-0.0393496,-0.039318,445.7,412.4,0.83,0.59,-779.0,21.0,-546.0,-32.0,944.0,6.0,0.2,97243.4,37.3,2.9,97217.8,0.0,-0.0,1660
1,0,0,0,43.242424,43.2424126,-0.0393476,-0.0393178,445.6,412.5,0.83,0.59,-652.0,20.0,-313.0,-33.0,-113.0,6.0,0.2,97243.4,37.6,2.9,97217.8,-0.0,0.0,1661
1,0,0,0,43.242424,43.2424126,-0.0393491,-0.0393182,445.5,412.7,0.86,0.59,-157.0,20.0,54.0,-32.0,-293.0,6.0,0.2,97243.0,37.5,2.8,97217.8,-0.0,-0.0,1662
1,0,0,0,43.242424,43.2424126,-0.0393491,-0.0393182,445.5,412.7,0.86,0.59,-157.0,20.0,54.0,-32.0,-293.0,6.0,0.2,97243.0,37.5,2.8,97217.8,-0.0,-0.0,1663
1,0,0,0,43.242424,43.2424126,-0.0393501,-0.0393184,445.5,413.0,0.89,0.57,477.0,21.0,-70.0,-33.0,59.0,6.0,0.2,97242.8,37.3,2.8,97218.0,-0.0,-0.0,1664
1,0,0,0,43.242424,43.2424126,-0.0393501,-0.0393184,445.5,413.0,0.89,0.57,477.0,21.0,-70.0,-33.0,59.0,6.0,0.2,97242.8,37.3,2.8,97218.0,-0.0,-0.0,1665
1,0,0,0,43.242424,43.2424126,-0.0393493,-0.0393187,445.3,413.1,0.87,0.57,148.0,21.0,79.0,-33.0,-60.0,6.0,0.2,97242.9,37.1,2.8,97218.1,-0.0,-0.0,1666
1,0,0,0,43.242424,43.2424126,-0.0393494,-0.039319,445.2,413.3,0.89,0.59,-616.0,20.0,-1.0,-32.0,-28.0,6.0,0.2,97242.8,37.5,2.8,97217.8,-0.0,-0.0,1667
1,0,0,0,43.242424,43.2424126,-0.0393501,-0.039319,445.2,413.3,0.89,0.59,1334.0,20.0,114.0,-32.0,-8.0,6.0,0.2,97242.8,37.5,2.8,97217.8,-0.0,-0.0,1668
1,0,0,0,43.242424,43.2424126,-0.039351,-0.0393191,445.1,413.4,0.95,0.59,-198.0,20.0,30.0,-33.0,-6.0,6.0,0.2,97242.0,37.6,2.8,97217.8,-0.0,-0.0,1669
1,0,0,0,43.242424,43.2424126,-0.0393502,-0.0393191,444.9,413.4,0.95,0.59,-34.0,20.0,113.0,-33.0,-104.0,6.0,0.3,97242.0,37.5,2.8,97217.8,0.0,-0.0,1670
1,0,0,0,43.242424,43.2424126,-0.0393526,-0.039319,445.0,413.4,1.02,0.61,217.0,20.0,-363.0,-33.0,582.0,7.0,0.3,97241.2,37.5,2.7,97217.7,0.0,-0.0,1671
1,0,0,0,43.242424,43.2424126,-0.0393522,-0.0393193,444.7,413.6,1.13,0.59,58.0,21.0,-78.0,-33.0,204.0,6.0,0.3,97239.9,37.6,2.8,97217.8,0.0,-0.0,1672
1,0,0,0,43.242424,43.2424126,-0.0393507,-0.0393193,444.2,413.6,1.13,0.59,-379.0,21.0,-355.0,-33.0,17.0,6.0,0.3,97239.9,37.7,2.8,97217.8,0.0,-0.0,1673
1,0,0,0,43.242424,43.2424126,-0.0393538,-0.0393194,444.7,413.7,1.0,0.6,97.0,20.0,-330.0,-33.0,-34.0,7.0,0.2,97241.4,37.5,2.9,97217.7,0.0,-0.0,1674
1,0,0,0,43.242424,43.2424126,-0.0393538,-0.0393194,444.6,413.7,1.0,0.6,263.0,20.0,76.0,-33.0,23.0,7.0,0.2,97241.4,37.5,2.9,97217.7,0.0,-0.0,1675
1,0,0,0,43.2424278,43.2424126,-0.0393549,-0.0393195,444.9,413.8,0.88,0.59,-643.0,21.0,-141.0,-32.0,493.0,6.0,0.2,97242.8,37.9,2.8,97217.8,-0.0,-0.1,1676
1,0,0,0,43.2424278,43.2424126,-0.0393549,-0.0393193,444.9,413.8,0.88,0.59,-643.0,19.0,-141.0,-32.0,493.0,6.0,0.2,97242.8,37.9,3.0,97217.8,-0.0,-0.0,1677
1,0,0,0,43.2424278,43.2424126,-0.0393549,-0.0393193,444.9,413.8,0.88,0.59,-643.0,19.0,-141.0,-32.0,493.0,6.0,0.2,97242.8,37.9,3.0,97217.8,-0.0,-0.0,1678
1,0,0,0,43.2424278,43.2424126,-0.0393514,-0.0393197,444.7,413.8,0.96,0.59,-909.0,21.0,79.0,-32.0,-294.0,5.0,0.3,97241.8,37.3,3.3,97217.8,-0.0,0.0,1679
1,0,0,0,43.2424278,43.2424126,-0.0393514,-0.0393197,444.7,413.8,0.96,0.59,-909.0,21.0,79.0,-32.0,-294.0,5.0,0.3,97241.8,37.3,3.3,97217.8,-0.0,0.0,1680
1,0,0,0,43.2424316,43.2424126,-0.0393546,-0.0393193,445.0,413.7,0.91,0.59,-111.0,19.0,-585.0,-33.0,1545.0,6.0,0.3,97242.5,37.5,3.0,97217.8,0.0,-0.0,1681
1,0,0,0,43.2424316,43.2424126,-0.0393535,-0.039319,444.7,413.7,0.91,0.61,429.0,20.0,435.0,-33.0,-82.0,6.0,0.3,97242.5,37.5,3.0,97217.6,0.0,-0.0,1682
1,0,0,0,43.2424316,43.2424126,-0.0393555,-0.039319,445.1,413.7,1.01,0.61,122.0,20.0,62.0,-33.0,955.0,6.0,0.3,97241.2,37.4,3.0,97217.6,0.0,-0.0,1683
1,0,0,0,43.2424316,43.2424126,-0.0393528,-0.039319,444.9,413.6,1.2,0.6,-58.0,20.0,575.0,-34.0,-105.0,6.0,0.3,97239.1,38.1,3.7,97217.7,0.0,-0.0,1684
1,0,0,0,43.2424278,43.2424126,-0.0393485,-0.0393187,444.0,413.5,1.2,0.59,-130.0,20.0,400.0,-33.0,-21.0,6.0,0.2,97239.1,37.9,3.8,97217.8,0.0,-0.0,1685
1,0,0,0,43.2424278,43.2424126,-0.0393486,-0.0393186,443.6,413.4,1.31,0.59,181.0,21.0,360.0,-32.0,620.0,6.0,0.2,97237.8,37.5,3.6,97217.8,0.1,-0.0,1686
